trait_name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes,type,latitude,longitude
pLA,32,0.2,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,35,0,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,15,0.276,0.037,0.043,NA,NA,Proportion conspecific larvae,0.75,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,15,0.243,0.065,0.07,NA,NA,Proportion conspecific larvae,1,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,23,0.331,0.062,0.068,NA,NA,Proportion conspecific larvae,0.75,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,23,0.357,0.065,0.065,NA,NA,Proportion conspecific larvae,1,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,31,0.184,0.04,0.045,NA,NA,Proportion conspecific larvae,0.75,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,31,0.143,0.04,0.038,NA,NA,Proportion conspecific larvae,1,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 5,NA,non-Arctic,35.5,-83.3
pLA,15,0.48,0.07,0.07,NA,NA,NA,NA,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 3,NA,non-Arctic,35.5,-83.3
pLA,23,0.62,0.09,0.09,NA,NA,NA,NA,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 3,NA,non-Arctic,35.5,-83.3
pLA,31,0.2,0.05,0.05,NA,NA,NA,NA,Aedes,triseriatus,TengApperson_2000_J.Med.Entomol.,10.1603/0022-2585-37.1.40,Figure 3,NA,non-Arctic,35.5,-83.3
pLA,10,0,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,15,0.5,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,20,0.775,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,25,0.763,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,30,0.675,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,35,0.025,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,40,0,NA,NA,NA,proportion,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 1,NA,non-Arctic,-21.3419,55.4778
pLA,25,0.96,0.025,0.03,SE,proportion of individuals surviving life stage (emergence rate),NA,NA,Aedes,albopictus,Giatropoulos et al 2022. Laboratory study on larval competition between two related mosquito species: Aedes (Stegomyia) albopictus and Aedes (Stegomyia) cretinus. Acta Tropica 23,10.1016/j.actatropica.2022.106389,figure 2,laboratory colonies of Ae. albopictus and Ae. cretinus were established from eggs collected using ovitraps from areas of Athens Greece in 2011.,non-Arctic,37.993785,23.728037
pLA,25,0.96,0.022,0.03,SE,proportion of individuals surviving life stage (emergence rate),NA,NA,Aedes,albopictus,Giatropoulos et al 2022. Laboratory study on larval competition between two related mosquito species: Aedes (Stegomyia) albopictus and Aedes (Stegomyia) cretinus. Acta Tropica 23,10.1016/j.actatropica.2022.106389,figure 2,laboratory colonies of Ae. albopictus and Ae. cretinus were established from eggs collected using ovitraps from areas of Athens Greece in 2011.,non-Arctic,37.993785,23.728037
pLA,25,0.92,0.024,0.01,SE,proportion of individuals surviving life stage (emergence rate),NA,NA,Aedes,albopictus,Giatropoulos et al 2022. Laboratory study on larval competition between two related mosquito species: Aedes (Stegomyia) albopictus and Aedes (Stegomyia) cretinus. Acta Tropica 23,10.1016/j.actatropica.2022.106389,figure 2,field-strain mosquitoes were established from larvae and eggs collected from around the area of Aman Damai Universiti Sains Malaysia. The F2 generation of field-strain Ae. albopictus was used in these experiments.,non-Arctic,37.993785,23.728037
pLA,25,0.94,0.04,0.01,SE,proportion of individuals surviving life stage (emergence rate),NA,NA,Aedes,albopictus,Giatropoulos et al 2022. Laboratory study on larval competition between two related mosquito species: Aedes (Stegomyia) albopictus and Aedes (Stegomyia) cretinus. Acta Tropica 23,10.1016/j.actatropica.2022.106389,figure 2,field-strain mosquitoes were established from larvae and eggs collected from around the area of Aman Damai Universiti Sains Malaysia. The F2 generation of field-strain Ae. albopictus was used in these experiments.,non-Arctic,37.993785,23.728037
