"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","trait"
"93",9.2,0,0,0,0,1.41465438690014e-06,0,"S"
"94",9.3,0,0,0,0,2.23159388452248e-06,0,"S"
"95",9.4,0,0,0,0,3.21775145578338e-06,0,"S"
"96",9.5,0,0,0,0,4.50274707087519e-06,0,"S"
"97",9.6,0,0,0,0,6.11203319131442e-06,0,"S"
"98",9.7,0,0,0,0,8.1815047663345e-06,0,"S"
"99",9.8,0,0,0,0,1.08413724654e-05,0,"S"
"100",9.9,0,0,0,0,1.42269498542071e-05,0,"S"
"101",10,0,0,0,0,1.85691254309158e-05,0,"S"
"102",10.1,0,0,0,0,2.4059957889955e-05,0,"S"
"103",10.2,0,0,0,0,3.09543303426992e-05,0,"S"
"104",10.3,0,0,0,0,4.02339537650709e-05,0,"S"
"105",10.4,0,0,0,0,5.17602285842341e-05,0,"S"
"106",10.5,0,0,0,0,6.58998830184768e-05,0,"S"
"107",10.6,0,1.1024271848563e-41,0,0,8.33470113495327e-05,0,"S"
"108",10.7,0,5.20972028706944e-10,0,0,0.000104917766417464,0,"S"
"109",10.8,0,7.04034651136634e-07,0,0,0.000131593197036852,0,"S"
"110",10.9,0,1.10277968628471e-05,0,0,0.000164630974616329,0,"S"
"111",11,0,6.73604539782609e-05,0,0,0.000205800679027527,0,"S"
"112",11.1,0,0.000217434154353413,0,0,0.000257858486985017,0,"S"
"113",11.2,0,0.000521249695815364,0,0,0.000322437481821142,0,"S"
"114",11.3,0,0.00100004709082441,0,0,0.000402331515070211,0,"S"
"115",11.4,0,0.00166128017391089,0,0,0.000501153128271905,0,"S"
"116",11.5,0,0.00285441193955744,0,0,0.000624052733054435,0,"S"
"117",11.6,0,0.00429638518003845,0,0,0.000775334417242465,0,"S"
"118",11.7,0,0.00618736904877967,0,0,0.000960846335429424,0,"S"
"119",11.8,0,0.00867846251892644,0,0,0.00118879857665205,0,"S"
"120",11.9,0,0.01163732584309,0,0,0.00146827120726052,0,"S"
"121",12,0,0.0157721937870339,0,0,0.00181049578475857,0,"S"
"122",12.1,0,0.0204307605609061,0,0,0.00222956334677241,0,"S"
"123",12.2,0,0.0269861699559699,0,0,0.00274256519441671,0,"S"
"124",12.3,0,0.0351531689109031,0,0,0.00336980102983911,0,"S"
"125",12.4,0,0.0449283904197273,0,0,0.00413387226825162,0,"S"
"126",12.5,0,0.0549212129391459,0,0,0.0050575381934238,0,"S"
"127",12.6,0,0.0675513644415105,0,0,0.00616988337343511,0,"S"
"128",12.7,0,0.0819435782304135,0,0,0.00750299623097287,0,"S"
"129",12.8,0,0.0986788553073385,0,0,0.0090954127900873,0,"S"
"130",12.9,0,0.116366695924284,0,0,0.0109966294937876,0,"S"
"131",13,0,0.139454932448069,0,8.92767725592056e-06,0.0132650334271039,0,"S"
"132",13.1,0,0.165377112177806,0,0.000483300280124024,0.0159564690806956,0,"S"
"133",13.2,0,0.192845892838964,0,0.00176835500550283,0.0191469799642936,0,"S"
"134",13.3,0,0.224703647530604,0,0.0043123725487707,0.0229139421568799,0,"S"
"135",13.4,0,0.260171932145502,0,0.00818516627959355,0.0273511134643484,0,"S"
"136",13.5,0,0.295623404727584,0,0.0134530920771931,0.0325601307068579,0,"S"
"137",13.6,0,0.339109834479846,0,0.0206508040191695,0.038656961410312,0,"S"
"138",13.7,0,0.381522535525624,0,0.0297493774408448,0.0457740645807332,0,"S"
"139",13.8,0,0.432753199503022,0,0.0406013501461187,0.054054457264244,0,"S"
"140",13.9,0,0.490853259478971,0,0.0537974159445691,0.0636666998864984,2.28599853586601e-05,"S"
"141",14,0,0.55623178268258,0,0.0699433086325245,0.0747882281084728,0.001257322596573,"S"
"142",14.1,0,0.623573015219772,0,0.0886095666114364,0.0876510616869452,0.00444443529342062,"S"
"143",14.2,0,0.698127740031009,0,0.110235821214436,0.102418840801233,0.00971787750226906,"S"
"144",14.3,0,0.7749997095193,0,0.135452370965524,0.119348660646266,0.0175266853672889,"S"
"145",14.4,0,0.855725618690326,0,0.163383067934597,0.138693161153422,0.028231270059507,"S"
"146",14.5,0,0.951253376486916,0,0.19662240033721,0.160689659645196,0.0416204514085729,"S"
"147",14.6,0,1.05660796638966,0,0.233858413858222,0.185597348786031,0.0583180476724291,"S"
"148",14.7,0,1.17001391441196,0.000260856692667484,0.275094244014294,0.213713881387252,0.0775859367393368,"S"
"149",14.8,0,1.28861250317049,0.00365298268118915,0.322584622848474,0.245333142156138,0.101069148529393,"S"
"150",14.9,0,1.4133142639207,0.0100081561461427,0.37533780667463,0.280746703026997,0.127185048309006,"S"
"151",15,0,1.56176925769713,0.0198673661254162,0.430686804417884,0.320253259711569,0.159810279278429,"S"
"152",15.1,0,1.70714771211216,0.0332745577667904,0.493960695045908,0.364166327864204,0.194736512057342,"S"
"153",15.2,0,1.85871584956909,0.0493060609041045,0.563272901703829,0.412836207184432,0.234362972065564,"S"
"154",15.3,0,2.03318586753389,0.0708676581843973,0.637559100988402,0.466617230717407,0.27844940372747,"S"
"155",15.4,0,2.20751586894151,0.0952086379220604,0.722812122016287,0.525772152967558,0.329087213230509,"S"
"156",15.5,0,2.41207870074043,0.123664175594285,0.812524426932861,0.59060601074855,0.383305328076772,"S"
"157",15.6,0,2.60893075390513,0.156877826366957,0.909667939962181,0.661434419869208,0.444339834614727,"S"
"158",15.7,0,2.8385000490319,0.193226186048429,1.01569685968555,0.738556654039594,0.511052801270467,"S"
"159",15.8,0,3.06542426757682,0.23602658748271,1.12950614334131,0.822274062006261,0.584485852177397,"S"
"160",15.9,0,3.30806026534864,0.285161400167751,1.24951855112416,0.912917199352277,0.66341897472342,"S"
"161",16,0,3.57858329620062,0.337730005389348,1.37920041960825,1.01077286156304,0.749684491236195,"S"
"162",16.1,0,3.84543999869161,0.394920326836,1.51801252302637,1.11611015922973,0.844271270936992,"S"
"163",16.2,0.000127871840465838,4.12332342692693,0.45532217554563,1.67181085916303,1.22919234008819,0.944060519304468,"S"
"164",16.3,0.0041366865642258,4.3908680510788,0.524723409408091,1.82835408931189,1.35029151319022,1.05200663233354,"S"
"165",16.4,0.0115372247934053,4.7279338913378,0.597246895940882,1.99967145786077,1.47968643325217,1.16935923268036,"S"
"166",16.5,0.0236401511968773,5.06539234608338,0.679020828277395,2.17789750068877,1.61765443574282,1.29008098708321,"S"
"167",16.6,0.0392037777525145,5.40030287644847,0.767120403385604,2.36355501331767,1.76447868249831,1.42008012065929,"S"
"168",16.7,0.0587633674145656,5.78881367793667,0.861284688793301,2.56378820355457,1.92039445761154,1.56252917489322,"S"
"169",16.8,0.0804850872703309,6.1731220530174,0.963839747374067,2.78246477615464,2.08566739430284,1.71411885449368,"S"
"170",16.9,0.105767862476189,6.59669817442168,1.07056982876174,3.0057940664854,2.26060783390948,1.8716933697091,"S"
"171",17,0.133720249594114,7.0154865756488,1.18031301727149,3.24981506055339,2.44542803037676,2.03668138242374,"S"
"172",17.1,0.165123655275121,7.45080568184021,1.30510485521014,3.49951822886841,2.64034749269777,2.21289391179556,"S"
"173",17.2,0.194658293774027,7.92622876862667,1.42977155134833,3.76147292656937,2.84558164868301,2.39999116999794,"S"
"174",17.3,0.230851379841722,8.42651034046822,1.56447582867794,4.04535019515383,3.06133099134769,2.59776621635134,"S"
"175",17.4,0.270490593507596,8.96426619198289,1.70718800158035,4.34031311060312,3.28783758362034,2.80761498936739,"S"
"176",17.5,0.309690197774327,9.5158088115918,1.85336223420165,4.64013394946966,3.52530439721701,3.02326006147179,"S"
"177",17.6,0.360131628344454,10.093224374267,2.00597088831691,4.96184382329285,3.77389234523439,3.25210051369231,"S"
"178",17.7,0.423009128740118,10.7154538996665,2.16432594355746,5.28666065637489,4.03377854870273,3.48836579776655,"S"
"179",17.8,0.47728552863617,11.3257657827714,2.33317713712437,5.63582301362022,4.30512462543385,3.74745196171949,"S"
"180",17.9,0.5223196719985,12.0032129615075,2.51058898220729,5.99669688045334,4.58808636499855,4.00848129872496,"S"
"181",18,0.579816176631246,12.6425749644974,2.69784593413393,6.3641344548347,4.88282544772205,4.28289836678949,"S"
"182",18.1,0.636405386941937,13.285654496446,2.89197159026532,6.7578079578745,5.18953330172817,4.57191615352298,"S"
"183",18.2,0.703315722621202,14.021657464685,3.09311884733699,7.15486287362801,5.50833258932019,4.86206189615003,"S"
"184",18.3,0.771079850142728,14.7628908243201,3.30811084586882,7.57963697000651,5.839340008564,5.16928941979454,"S"
"185",18.4,0.859248656052979,15.5846773755673,3.53223978925524,8.02612514443003,6.18256903643445,5.48364561337258,"S"
"186",18.5,0.931031636283111,16.3681584162668,3.75010359143079,8.47829084434753,6.53810324652209,5.82025780467705,"S"
"187",18.6,1.00736346998399,17.1986069732571,3.99071947828683,8.94882805988427,6.9060057310069,6.16719821539979,"S"
"188",18.7,1.09856930734119,18.0757605434345,4.22722338204527,9.44428843304955,7.28628630159272,6.52589439630508,"S"
"189",18.8,1.18246713362196,18.9892278767793,4.46312213187,9.93366835434,7.67887949960559,6.88288230687456,"S"
"190",18.9,1.26672183993846,19.8912708974102,4.72775297246288,10.4609586982626,8.08433485584938,7.2598453588961,"S"
"191",19,1.35498972186611,20.8207033210891,4.99670910404818,10.9782929149884,8.50245276859312,7.64129339185395,"S"
"192",19.1,1.4523434395175,21.7815235905164,5.2708399196864,11.5166328285221,8.93310002099427,8.03522334282213,"S"
"193",19.2,1.54063242746441,22.7509982516196,5.55139311880166,12.0803861188794,9.37629853818926,8.443816709367,"S"
"194",19.3,1.6375614400945,23.7217690980804,5.83668832213947,12.6569320786946,9.83202473299862,8.85589759575244,"S"
"195",19.4,1.74995274214389,24.8169503354787,6.13543017829202,13.2463750329542,10.3002095195612,9.29945450260844,"S"
"196",19.5,1.85828795305492,25.8213140749921,6.44207552219012,13.853184376634,10.7807827300755,9.75136722572927,"S"
"197",19.6,1.96522408472202,26.9542148876754,6.74881373621119,14.4693108790089,11.2736434720005,10.2060410907136,"S"
"198",19.7,2.07217771624035,28.1139181274164,7.06531162574854,15.1099904123472,11.7786721428029,10.6665348424128,"S"
"199",19.8,2.17488445337559,29.3167891493479,7.38883807985145,15.7658314288918,12.295734760077,11.150399342849,"S"
"200",19.9,2.30681933025407,30.4905311635304,7.71638436427094,16.4433395038298,12.8247441547147,11.6391231303302,"S"
"201",20,2.40169478462712,31.7623868885554,8.06117007510475,17.1336987635771,13.3655016588717,12.1359001510828,"S"
"202",20.1,2.51686578671202,33.0938757229687,8.41172510214169,17.8385955453094,13.9177910377089,12.651853085155,"S"
"203",20.2,2.6398299745188,34.4099878756039,8.76064631088808,18.5525612632649,14.4814291614933,13.1773483834629,"S"
"204",20.3,2.7650723145901,35.6222505944293,9.13300112237055,19.2819717498484,15.0562541510807,13.7014717994277,"S"
"205",20.4,2.87598747562121,36.9781246696797,9.49496958841435,20.0291528580287,15.6419612237241,14.2371816097322,"S"
"206",20.5,3.01567732485857,38.3044869653914,9.86396556368142,20.8046902769068,16.2384513551846,14.7736928185698,"S"
"207",20.6,3.16203233067988,39.7213777740321,10.2505617433634,21.5540381107901,16.8454417826727,15.3307156680586,"S"
"208",20.7,3.30440708216018,41.0335106017743,10.6522590272167,22.3567047787936,17.4625214038955,15.9051579131308,"S"
"209",20.8,3.43253106050913,42.498617866727,11.0458747750731,23.1736439381305,18.0893324209501,16.4906554153889,"S"
"210",20.9,3.55447121967838,43.9003400092106,11.4430786729867,23.952311976996,18.7255325979668,17.0710724594515,"S"
"211",21,3.67637704759327,45.4257504956925,11.8471928874886,24.7692957786295,19.3707757656387,17.6595566379472,"S"
"212",21.1,3.80195754815405,46.8895750025993,12.2435897714335,25.6198020497794,20.0247220328047,18.2514524273691,"S"
"213",21.2,3.92725407468991,48.4241739737248,12.6465490926099,26.4720958094007,20.6869683427423,18.859085808913,"S"
"214",21.3,4.05715987780365,50.0153304565932,13.0534400484837,27.341885911386,21.3571515764449,19.4876772846688,"S"
"215",21.4,4.20272005545682,51.5817308320835,13.482435920104,28.2002466171382,22.0347024534268,20.1212606493122,"S"
"216",21.5,4.34445550834004,53.100283671722,13.8870082755425,29.0575471550688,22.7192015927361,20.7544896163504,"S"
"217",21.6,4.46276799359848,54.6490620406491,14.3085880616728,29.9629356280528,23.4102219346888,21.3933269933219,"S"
"218",21.7,4.61180131648888,56.2388663732836,14.7433134298024,30.8786235075834,24.1071382946105,22.0160638256365,"S"
"219",21.8,4.77484173436798,57.8702196284446,15.1862667458847,31.7394479288082,24.8092568027779,22.6748804329944,"S"
"220",21.9,4.93754313997666,59.4334857462975,15.6093442463229,32.6331946362146,25.5146141480072,23.306901401949,"S"
"221",22,5.07201631782203,61.0328931967599,16.0498420458383,33.5350953308002,26.226426478267,23.9295339820561,"S"
"222",22.1,5.2051889708263,62.6213431216201,16.4653234412381,34.456952942687,26.9420695374705,24.5638244259963,"S"
"223",22.2,5.32381350581437,64.3708410701921,16.9033028027084,35.3932526336291,27.6610159098654,25.2302053276996,"S"
"224",22.3,5.45895404517738,66.091809478079,17.343135204486,36.2982361684528,28.382678469958,25.8888362072819,"S"
"225",22.4,5.56414415300554,67.7732874341855,17.7761753814513,37.2598338182557,29.1063937375246,26.5572883599515,"S"
"226",22.5,5.66303864047951,69.4375631983332,18.2162422841472,38.2169382884506,29.8317504260523,27.2338342264965,"S"
"227",22.6,5.77335844439369,71.1137149187213,18.6298925228774,39.1266247937431,30.5579113844783,27.8943397305198,"S"
"228",22.7,5.89263071756858,72.8618261152342,19.0731709709298,40.056424746057,31.284161238397,28.5484437187564,"S"
"229",22.8,5.99381336207322,74.6326674119371,19.4982895455028,40.9751694165126,32.0096083062603,29.1911824755887,"S"
"230",22.9,6.1091798581113,76.3988392094847,19.9319678870456,41.9185321340623,32.7342592512676,29.8469376685103,"S"
"231",23,6.19888854630338,78.0977320178639,20.3555833127716,42.8441157693624,33.4570290499667,30.48767056163,"S"
"232",23.1,6.3001678153477,79.8296281702589,20.7613149472629,43.7988993841368,34.1772012018044,31.1219868138357,"S"
"233",23.2,6.356948548223,81.4543951438134,21.1789614076777,44.7074864864511,34.8940198498668,31.7418768814876,"S"
"234",23.3,6.43945899850291,83.2778537350145,21.5822583923442,45.6360187871048,35.6067466062516,32.3759107830823,"S"
"235",23.4,6.60785732036103,84.9840148973525,21.9883480724062,46.5502855107691,36.3146312929364,33.0087243157396,"S"
"236",23.5,6.72948914123224,86.7729564124971,22.3744504239338,47.4769332670325,37.0169079047543,33.6477102463168,"S"
"237",23.6,6.78714723224861,88.5570309939455,22.7767967639948,48.4001617150869,37.7126851295527,34.2514135330793,"S"
"238",23.7,6.86720108161206,90.4099721984802,23.1473760017708,49.2968705766593,38.4004337244419,34.8671798118272,"S"
"239",23.8,6.9068580132934,92.1348185141027,23.5365437435317,50.2132991706583,39.0815651293882,35.4811577766986,"S"
"240",23.9,6.99557269689403,93.8037909747089,23.9002062064725,51.1173244172811,39.7539925101011,36.1088869939278,"S"
"241",24,7.07705342332178,95.4669507991958,24.3012830320793,51.9957029343847,40.416829910119,36.718436968421,"S"
"242",24.1,7.14796775615608,97.1357446725038,24.6254236672822,52.8917562456753,41.0692049709609,37.3036138424574,"S"
"243",24.2,7.17095628571026,98.7564933996149,24.9839189661319,53.7385109028877,41.7096022328242,37.8740441854816,"S"
"244",24.3,7.22360089502507,100.346698579893,25.3108401536125,54.5686981034085,42.3389014397379,38.4026446655417,"S"
"245",24.4,7.23547672400581,102.119485114772,25.644189300201,55.3569872956395,42.95513909375,38.9142627700245,"S"
"246",24.5,7.27915359026164,103.64528418234,25.9942620390485,56.1718472737084,43.5573056903406,39.4917203769713,"S"
"247",24.6,7.30354622112911,105.375308195855,26.3051237912258,56.9620176255692,44.145013619334,40.0313713832933,"S"
"248",24.7,7.29509397227129,107.042221664163,26.5667884736327,57.7160826101868,44.7159081663523,40.5408567713341,"S"
"249",24.8,7.26880644117748,108.591534197319,26.7985451837235,58.4315314273935,45.2645418801699,41.0358977124873,"S"
"250",24.9,7.23890171429625,110.173382095574,27.0743895928233,59.1535897155981,45.7985840818668,41.4861431782683,"S"
"251",25,7.20430608414971,111.790595285965,27.3216134079313,59.8997285482823,46.3146687289854,41.9313085771416,"S"
"252",25.1,7.17647170753188,113.230597859148,27.531206714231,60.597455440478,46.8123340836262,42.3160192963839,"S"
"253",25.2,7.11625098630353,114.585266314159,27.7517323085179,61.2641018545643,47.2869618045611,42.7132121202658,"S"
"254",25.3,7.05847458257862,115.83489013431,27.9530914253814,61.8840696094476,47.7404589970845,43.0813371663066,"S"
"255",25.4,6.99264232192472,117.110419449786,28.11310891376,62.4319038160398,48.1667847507261,43.4212295548165,"S"
"256",25.5,6.8435706502632,118.455503265132,28.2384197835623,62.9985585827113,48.5616457663684,43.7309287483379,"S"
"257",25.6,6.75902859472094,119.729983132548,28.327716635296,63.5565308430927,48.9462507956726,44.0662234717484,"S"
"258",25.7,6.60505275139566,120.958669033869,28.4349104376863,64.1118628894734,49.3022524626616,44.39262865139,"S"
"259",25.8,6.29389043459033,122.128189015436,28.5103637263459,64.6095851118227,49.6196547211984,44.6154124019933,"S"
"260",25.9,6.08716113443603,123.206280798454,28.5890700898009,65.0213506739927,49.9182471052749,44.8830239039713,"S"
"261",26,5.92594981081806,124.269322695554,28.625144575073,65.416400849884,50.1737510547658,45.0558692325169,"S"
"262",26.1,5.61272905062319,125.202200966767,28.6759535242657,65.863238651879,50.3946285940611,45.2248541333542,"S"
"263",26.2,5.32790479655766,126.136189011562,28.6441659746318,66.2041181509705,50.6060369668438,45.3598695880541,"S"
"264",26.3,5.05102703316813,127.091742743244,28.5754092774622,66.5474804166262,50.7838239018098,45.5019185388081,"S"
"265",26.4,4.40853507392075,128.172149473174,28.4680341940701,66.8060934160797,50.904791250764,45.5302030981196,"S"
"266",26.5,3.94094519098398,129.051089571692,28.4145816569743,67.0693136236686,51.0121743700421,45.6015875209944,"S"
"267",26.6,3.28843720817914,129.696661492265,28.3515827749919,67.3155492383987,51.0865364695034,45.6170769788559,"S"
"268",26.7,2.77405077899806,130.511629097556,28.1689261991988,67.5013903782406,51.1267592468707,45.5829256651712,"S"
"269",26.8,2.10659975686834,131.371865136924,28.0163638631061,67.6241181695591,51.1235230369319,45.5319652820182,"S"
"270",26.9,1.38758238855358,131.960951980527,27.8175043147177,67.7142669081702,51.1014621615339,45.5258347737128,"S"
"271",27,0.74151501889206,132.497915999613,27.6178708579931,67.7490966702763,51.0400419023602,45.4430026877307,"S"
"272",27.1,0.0831975962099886,132.804687262609,27.4148402800226,67.8121861382928,50.960187020717,45.3584156713977,"S"
"273",27.2,0,133.217642361283,27.2101412192111,67.8461142853685,50.8578846497888,45.2299247099193,"S"
"274",27.3,0,133.434789291608,26.9422950530551,67.7827475548119,50.703161010184,45.0694999434134,"S"
"275",27.4,0,133.876577386615,26.6762582327895,67.6710985536039,50.5034150517798,44.8486219067242,"S"
"276",27.5,0,134.088967105255,26.3155563494439,67.4467862205723,50.2857684948616,44.5660693036649,"S"
"277",27.6,0,134.280370800732,25.9673640171939,67.2291874087786,50.0425379002789,44.3045529897107,"S"
"278",27.7,0,133.962760763979,25.5394551475246,67.0101890730277,49.7404926963687,43.9474216386234,"S"
"279",27.8,0,133.883328072765,25.0996859975846,66.7934879423551,49.3903187593849,43.5877786203386,"S"
"280",27.9,0,133.600099058796,24.736368773447,66.4851447425881,49.0236695702923,43.2366797416819,"S"
"281",28,0,133.400752894501,24.2984199528144,66.0915091352211,48.6254010977749,42.810426300052,"S"
"282",28.1,0,133.189595388811,23.7403938053879,65.6732474846263,48.1834762049107,42.3319774257845,"S"
"283",28.2,0,132.883183234786,23.2087963391196,65.2344636498257,47.7102174761595,41.8578465502511,"S"
"284",28.3,0,132.672202840435,22.7156375220045,64.799383843379,47.2255982796095,41.3836660850606,"S"
"285",28.4,0,132.186795200079,22.2031018235539,64.1676234235504,46.7159301508609,40.9001605592064,"S"
"286",28.5,0,131.593341747947,21.6646778310031,63.6122457362411,46.163782746471,40.3441970483528,"S"
"287",28.6,0,131.220005691542,21.0392696449751,62.8775317668417,45.5759768295133,39.7072074965574,"S"
"288",28.7,0,130.311104368258,20.4396463446907,62.2643246560126,44.9574751451885,39.157240859631,"S"
"289",28.8,0,129.616357410061,19.7987108022224,61.5495641553265,44.3021116470661,38.4050923872329,"S"
"290",28.9,0,128.783581605479,19.0873748286955,60.6813548619689,43.6121634248008,37.711625675323,"S"
"291",29,0,127.890170918438,18.484326518502,59.8286201142415,42.921144015156,36.9827053392652,"S"
"292",29.1,0,127.148783206981,17.7744817387773,58.9766389382509,42.1899714764489,36.258140934287,"S"
"293",29.2,0,126.231645514852,17.0791569188611,58.2003677960097,41.4170383450067,35.4217147006648,"S"
"294",29.3,0,125.16194591124,16.3862576954004,57.3124190586081,40.6522719586133,34.6698508679573,"S"
"295",29.4,0,123.868818175758,15.6763138497671,56.3645736276199,39.8764300123989,33.8966186751039,"S"
"296",29.5,0,122.917530316506,14.9598996001044,55.4012128989254,39.0498357378692,33.0324847589843,"S"
"297",29.6,0,121.532029285191,14.041477475753,54.39216329019,38.1976299765992,32.096198210713,"S"
"298",29.7,0,119.606163530108,13.2414792171601,53.2796854441392,37.327093376621,31.1360950427624,"S"
"299",29.8,0,118.227533785589,12.444009276196,52.1957311028925,36.4533066540542,30.2459812907771,"S"
"300",29.9,0,116.544666253777,11.5528970625095,51.065532874013,35.5223232262577,29.2871504565965,"S"
"301",30,0,114.857060430909,10.7405746574864,49.9950147159127,34.6070417522332,28.2938918518867,"S"
"302",30.1,0,112.618235402878,9.89960218404945,48.802644678441,33.6613190184668,27.2891167828333,"S"
"303",30.2,0,110.568483200883,9.14533447163778,47.6263406381663,32.6944866539904,26.2378373632435,"S"
"304",30.3,0,108.577070898574,8.25109259209042,46.41765963332,31.7126118437823,25.1802046876471,"S"
"305",30.4,0,106.51010555575,7.4607519097598,45.1014494987976,30.7389488488413,24.2152784206323,"S"
"306",30.5,0,104.280007806811,6.65460159102434,43.7239670167836,29.7641444300378,23.2400828449493,"S"
"307",30.6,0,102.460891638001,5.85349402680452,42.3019183360519,28.7731090124874,22.2240941483199,"S"
"308",30.7,0,100.192656935131,5.02417649371597,40.971121866439,27.7688204228473,21.153719581233,"S"
"309",30.8,0,98.2809538022393,4.11310812722641,39.5373917183453,26.765048480333,20.16301822631,"S"
"310",30.9,0,96.7112100740004,3.38250091895992,38.1537265310986,25.7499255479364,19.0482568302326,"S"
"311",31,0,94.6483628492603,2.48137329673116,36.7898015797122,24.7157310777177,17.9923161619476,"S"
"312",31.1,0,92.3816274693638,1.43386731141229,35.3683406611418,23.663385939458,16.859862231101,"S"
"313",31.2,0,90.2429349352695,0.377785989100874,33.8233629772613,22.5907039469365,15.6141603814482,"S"
"314",31.3,0,87.9102638614165,0,32.2928292079987,21.5433195096377,14.3822754740779,"S"
"315",31.4,0,85.4312518521757,0,30.7503062542289,20.487017905771,13.2635378017201,"S"
"316",31.5,0,82.5485756812941,0,29.2685548388467,19.4534802166119,12.1695325817207,"S"
"317",31.6,0,79.8968340936129,0,27.8788678422118,18.442982992659,11.0511067479829,"S"
"318",31.7,0,77.1126589173994,0,26.4586551939824,17.4415231019989,9.93123258834561,"S"
"319",31.8,0,74.1306585717505,0,24.9682989801725,16.4443550715789,8.7387494270662,"S"
