"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","trait","scaled_median"
"50",4.9,0,0,0,0,0,0,"S",0
"51",5,0,0,0,0,0,0,"S",0
"52",5.1,0,0,0,0,0,0,"S",0
"53",5.2,0,0,0,0,0,0,"S",0
"54",5.3,0,0,0,0,0,0,"S",0
"55",5.4,0,0,0,0,0,0,"S",0
"56",5.5,0,0,0,0,0,0,"S",0
"57",5.6,0,0,0,0,0,0,"S",0
"58",5.7,0,0,0,0,0,0,"S",0
"59",5.8,0,0,0,0,0,0,"S",0
"60",5.9,0,0,0,0,0,0,"S",0
"61",6,0,0,0,0,0,0,"S",0
"62",6.1,0,0,0,0,0,0,"S",0
"63",6.2,0,0,0,0,0,0,"S",0
"64",6.3,0,0,0,0,0,0,"S",0
"65",6.4,0,0,0,0,0,0,"S",0
"66",6.5,0,0,0,0,0,0,"S",0
"67",6.6,0,0,0,0,0,0,"S",0
"68",6.7,0,0,0,0,0,0,"S",0
"69",6.8,0,0,0,0,0,0,"S",0
"70",6.9,0,0,0,0,0,0,"S",0
"71",7,0,0,0,0,0,0,"S",0
"72",7.1,0,0,0,0,0,0,"S",0
"73",7.2,0,0,0,0,0,0,"S",0
"74",7.3,0,0,0,0,0,0,"S",0
"75",7.4,0,0,0,0,0,0,"S",0
"76",7.5,0,0,0,0,0,0,"S",0
"77",7.6,0,0,0,0,0,0,"S",0
"78",7.7,0,0,0,0,0,0,"S",0
"79",7.8,0,0,0,0,0,0,"S",0
"80",7.9,0,0,0,0,0,0,"S",0
"81",8,0,0,0,0,0,0,"S",0
"82",8.1,0,0,0,0,5.467283642681e-12,0,"S",0
"83",8.2,0,0,0,0,2.05626964796664e-11,0,"S",0
"84",8.3,0,0,0,0,5.32631261965888e-11,0,"S",0
"85",8.4,0,0,0,0,1.16768569131944e-10,0,"S",0
"86",8.5,0,0,0,0,1.1969183063316e-09,0,"S",0
"87",8.6,0,0,0,0,2.49539049014053e-09,0,"S",0
"88",8.7,0,0,0,0,4.44822515784701e-09,0,"S",0
"89",8.8,0,0,0,0,1.34565746845493e-08,0,"S",0
"90",8.9,0,0,0,0,5.11536401641802e-08,0,"S",0
"91",9,0,0,0,0,1.12349551962561e-07,0,"S",0
"92",9.1,0,0,0,0,7.13171144509803e-07,0,"S",0
"93",9.2,0,0,0,0,1.3001912694868e-06,0,"S",0
"94",9.3,0,0,0,0,2.04990278706436e-06,0,"S",0
"95",9.4,0,0,0,0,2.95566597226295e-06,0,"S",0
"96",9.5,0,0,0,0,4.13549078053135e-06,0,"S",0
"97",9.6,0,0,0,0,5.6133667319469e-06,0,"S",0
"98",9.7,0,0,0,0,7.5142061126183e-06,0,"S",0
"99",9.8,0,0,0,0,9.95788286190105e-06,0,"S",0
"100",9.9,0,0,0,0,1.30680674272466e-05,0,"S",0
"101",10,0,0,0,0,1.70581271985023e-05,0,"S",0
"102",10.1,0,0,0,0,2.21053557882427e-05,0,"S",0
"103",10.2,0,0,0,0,2.84447566836809e-05,0,"S",0
"104",10.3,0,0,0,0,3.69816415297881e-05,0,"S",0
"105",10.4,0,0,0,0,4.75894537648e-05,0,"S",0
"106",10.5,0,0,0,0,6.06069519537346e-05,0,"S",0
"107",10.6,0,1.00522071660469e-41,0,0,7.66762343224982e-05,0,"S",0
"108",10.7,0,4.79099080912101e-10,0,0,9.6552606772576e-05,0,"S",0
"109",10.8,0,6.36824426886162e-07,0,0,0.000121144062131818,0,"S",0
"110",10.9,0,1.02848666439575e-05,0,0,0.000151614106107303,0,"S",0
"111",11,0,6.31347043376901e-05,0,0,0.000189598123250015,0,"S",0
"112",11.1,0,0.000200290604374881,0,0,0.000237652431181536,0,"S",0
"113",11.2,0,0.000482347411553526,0,0,0.000297292215276918,0,"S",0
"114",11.3,0,0.00090343235185818,0,0,0.000371107992998555,0,"S",0
"115",11.4,0,0.00152531053429561,0,0,0.000462448905729139,0,"S",0
"116",11.5,0,0.00260949212713253,0,0,0.000576060764549829,0,"S",0
"117",11.6,0,0.00396925995552019,0,0,0.000715975737186162,0,"S",0
"118",11.7,0,0.00573388073034671,0,0,0.000887639499799427,0,"S",0
"119",11.8,0,0.0078257584617554,0,0,0.00109866764883459,0,"S",0
"120",11.9,0,0.010726424063466,0,0,0.00135746854189879,0,"S",0
"121",12,0,0.0145646831711581,0,0,0.00167452816916246,0,"S",0
"122",12.1,0,0.0190456329042991,0,0,0.0020629705088976,0,"S",0
"123",12.2,0,0.0249637232166441,0,0,0.00253873913045039,0,"S",0
"124",12.3,0,0.0322072920702914,0,0,0.00312082326597256,0,"S",0
"125",12.4,0,0.0412711249520612,0,0,0.00383032590258142,0,"S",0
"126",12.5,0,0.0508769808952613,0,0,0.00468861910769113,0,"S",0
"127",12.6,0,0.062462097985718,0,0,0.00572285421309563,0,"S",0
"128",12.7,0,0.0752770535465274,0,0,0.00696308178220511,0,"S",0
"129",12.8,0,0.090761172062692,0,0,0.008445553618678,0,"S",0
"130",12.9,0,0.108250618890536,0,0,0.0102167642778426,0,"S",0
"131",13,0,0.129499361592863,0,8.28337184191567e-06,0.012331400147272,0,"S",0
"132",13.1,0,0.15507057898369,0,0.000451262551244202,0.014842265366859,0,"S",0
"133",13.2,0,0.179757812932615,0,0.00164809257321546,0.0178210102522873,0,"S",0
"134",13.3,0,0.209795283823858,0,0.00399509230428687,0.0213406738337968,0,"S",0
"135",13.4,0,0.242319911077551,0,0.00764702609660348,0.0254896919957883,0,"S",0
"136",13.5,0,0.275772505446592,0,0.0126153757673557,0.0303643436562418,0,"S",0
"137",13.6,0,0.314781107751871,0,0.0192947953870636,0.0360746902346681,0,"S",0
"138",13.7,0,0.357113099285043,0,0.0277399674436339,0.0427461634454502,0,"S",0
"139",13.8,0,0.40465528243868,0,0.038016105443651,0.0505146015377202,0,"S",0
"140",13.9,0,0.460638841665301,0,0.0502632587554908,0.0595398704562881,2.13096443116868e-05,"S",3.82182397820882e-07
"141",14,0,0.518656240784537,0,0.0650661793023141,0.0699913019340427,0.0011667017654857,"S",2.09244636725654e-05
"142",14.1,0,0.582608439024088,0,0.0826204631698982,0.0820877113135346,0.0041433374623,"S",7.43095766011666e-05
"143",14.2,0,0.659285635315605,0,0.103193587541295,0.0959894639963043,0.00909986480541493,"S",0.000163203481968585
"144",14.3,0,0.730078818707292,0,0.126129513716955,0.111941212685732,0.0165004655117634,"S",0.000295931146583617
"145",14.4,0,0.808582941026248,0,0.153119989693355,0.130185468402996,0.0262909727569084,"S",0.000471521103886665
"146",14.5,0,0.898483092973719,0,0.184672049078097,0.150950531257478,0.0390819324636018,"S",0.000700923321006422
"147",14.6,0,0.998547868120779,0,0.219278717266647,0.174486952994277,0.0544581342020997,"S",0.000976691117213791
"148",14.7,0,1.10577488476811,0.00024899471989111,0.258825786209294,0.201081636575803,0.0727896637223602,"S",0.00130546187496572
"149",14.8,0,1.21519203207821,0.00342947223802026,0.304506832158534,0.231019464996603,0.0944146782565008,"S",0.00169330034785082
"150",14.9,0,1.33927910412643,0.00943614745176212,0.353414096535981,0.264584885285698,0.119104076608866,"S",0.0021360976712152
"151",15,0,1.47078589486264,0.0187476073316125,0.406805510817557,0.302069291401966,0.150741066585703,"S",0.00270349807041154
"152",15.1,0,1.61878108217668,0.0312502427206188,0.46588086146549,0.34377922509313,0.183565724966526,"S",0.00329219896396676
"153",15.2,0,1.76406421342968,0.0464014414643774,0.529600165904531,0.390057638667229,0.220433673780603,"S",0.00395341511916903
"154",15.3,0,1.9260735704304,0.0665932682254658,0.601111236969594,0.441252413397359,0.262937547761894,"S",0.00471570998609639
"155",15.4,0,2.10908117360649,0.0899487253172573,0.681615172587578,0.497626816620163,0.311343667818104,"S",0.00558385995433128
"156",15.5,0,2.2867523970784,0.117142642494605,0.768675102420998,0.559484853593743,0.363717496164007,"S",0.00652316964000816
"157",15.6,0,2.48543683159059,0.148205785562854,0.861900180835681,0.627142683601853,0.421455815207526,"S",0.00755868993755237
"158",15.7,0,2.68887197667671,0.183037330961689,0.963507218067693,0.700900939905304,0.485139740689847,"S",0.00870084299217335
"159",15.8,0,2.9111730593205,0.223859066611704,1.07256085531842,0.781064054627275,0.554886369208971,"S",0.0099517288979856
"160",15.9,0,3.13655348679061,0.270533754744253,1.19011328053227,0.867966514122076,0.630075727507256,"S",0.0113002286112958
"161",16,0,3.4014512172567,0.321281712392859,1.31395360312455,0.961901813220795,0.713655219651577,"S",0.0127992029840802
"162",16.1,0,3.66672244562946,0.37591725410563,1.4461439225701,1.06314717636938,0.801831678835111,"S",0.0143806226506504
"163",16.2,0.00012495531573509,3.95261438158297,0.433464181771499,1.5905099884011,1.17197762152363,0.898359716813246,"S",0.0161118255028349
"164",16.3,0.00394326135305729,4.22498060739213,0.499795940077457,1.74865125490877,1.28867870225877,1.0022323214102,"S",0.0179747510642433
"165",16.4,0.01075301451026,4.52769287238156,0.569055428787571,1.90974323514557,1.41354256805197,1.11335774765719,"S",0.0199677539150066
"166",16.5,0.0228824425161777,4.87149417770466,0.647009463975443,2.07823961332961,1.54686438109708,1.2323082435561,"S",0.0221010971599568
"167",16.6,0.0374128199339527,5.21019881784962,0.730489579412304,2.26347726695488,1.68894167851573,1.36056302386303,"S",0.024401310094192
"168",16.7,0.0564778333332927,5.57544403031267,0.822785214244587,2.46475763100105,1.84003119492351,1.494591732813,"S",0.0268050767931623
"169",16.8,0.0778503420781418,5.96931726605177,0.920491595465921,2.67284476870496,2.00041897882254,1.64335084938345,"S",0.0294730291548746
"170",16.9,0.100662934417652,6.35743610441952,1.02533239881171,2.88945493788887,2.17043384529601,1.79594774110463,"S",0.0322098109202102
"171",17,0.128065444080991,6.76106130371288,1.13567926350041,3.12472870453325,2.35031619514698,1.95975921414185,"S",0.0351477230054721
"172",17.1,0.160807665615267,7.18486236109082,1.25020287888895,3.37508780217866,2.54031562168251,2.12981605992526,"S",0.038197644071105
"173",17.2,0.190070590370435,7.6528972084025,1.37441194248854,3.62235054623327,2.74067577795311,2.31234735760136,"S",0.0414712908764134
"174",17.3,0.222002861406656,8.16308554079245,1.5071125650318,3.90218178391588,2.95163210836019,2.50393622289332,"S",0.0449073825756495
"175",17.4,0.25937941630091,8.66833266530574,1.64208277470096,4.18921147802126,3.17345823495078,2.70439187153937,"S",0.0485024975074493
"176",17.5,0.301076698525634,9.20798755759311,1.78685988620314,4.48918698887418,3.40639042741288,2.92442725006748,"S",0.0524487693147727
"177",17.6,0.347597802451195,9.76690243984788,1.93479061612559,4.80392393097987,3.650632266498,3.14763260715726,"S",0.0564518937842061
"178",17.7,0.408014252175085,10.3812094922637,2.09109657930122,5.12360941546308,3.90640309841339,3.38247173331617,"S",0.0606636665864558
"179",17.8,0.46121565492095,11.0141874777421,2.25758259401165,5.46010526181067,4.17390653035384,3.63076220599672,"S",0.0651166854551513
"180",17.9,0.508344688655162,11.6115246619161,2.4342047675621,5.81808145313311,4.45334454799903,3.89058300322847,"S",0.0697764974087137
"181",18,0.560406764875068,12.3067979088141,2.61897393605229,6.1882496453412,4.74492502424635,4.16419755863706,"S",0.0746836964841766
"182",18.1,0.614782830297751,12.9369171247978,2.81687632442322,6.58056095279163,5.04889057271496,4.44315632362749,"S",0.079686742435475
"183",18.2,0.679901004173937,13.657571952086,3.01213503309345,6.98022523725,5.36541274712127,4.73362666959131,"S",0.084896245310914
"184",18.3,0.75014503988656,14.3927790530306,3.22344567994552,7.40502496498515,5.69466369589863,5.03686355381283,"S",0.0903347124117448
"185",18.4,0.833653066088445,15.1306348779332,3.43516090619883,7.84156640115668,6.03671569433445,5.35732738359532,"S",0.0960821398718064
"186",18.5,0.909496688192269,15.9842890257435,3.65419838896137,8.29797982082691,6.39170927126669,5.69190914008836,"S",0.102082768324038
"187",18.6,0.987755522331105,16.8495632057088,3.88702095855855,8.77212620811093,6.7597705188455,6.03421862433824,"S",0.108221991371308
"188",18.7,1.07345868092894,17.7510596358018,4.12647083671263,9.25776252126942,7.14096961872826,6.38164594762037,"S",0.11445300140312
"189",18.8,1.15289991345511,18.6539207232916,4.38257066920836,9.77002260175423,7.5353055798682,6.74905245312899,"S",0.121042332374415
"190",18.9,1.2332883239174,19.5930516781736,4.64226319419433,10.2862586501699,7.94338759861552,7.13161328422921,"S",0.127903451856453
"191",19,1.3327178551964,20.4990271707434,4.91243885821163,10.8219308665221,8.36509707449183,7.5167589221627,"S",0.134810929112418
"192",19.1,1.42579895859241,21.4058249973924,5.19017638104935,11.3659711558436,8.80036971284849,7.92851269325999,"S",0.142195615653781
"193",19.2,1.51289220277017,22.3983293397398,5.46797788434393,11.9328413388537,9.24930530105171,8.33532237672031,"S",0.149491631392362
"194",19.3,1.60789310002119,23.5158073088766,5.76535582323736,12.51690787256,9.71195766077578,8.76478991201641,"S",0.15719400924649
"195",19.4,1.72694605555124,24.5730797147364,6.07782574992737,13.1066985182128,10.1883341956477,9.207136809568,"S",0.165127374792258
"196",19.5,1.84062297932422,25.6875436797481,6.38005066301718,13.7379315369688,10.6784440112574,9.66282020519745,"S",0.173299926630362
"197",19.6,1.95088053424256,26.8541433847526,6.6905916158412,14.3807907882612,11.1822671810699,10.1318560051484,"S",0.181711950034749
"198",19.7,2.0468790809561,28.0054139057276,7.00862656221528,15.0392132629297,11.699771545351,10.592795680625,"S",0.189978771753957
"199",19.8,2.1689236811687,29.1244059475579,7.357211382387,15.7121989737576,12.2309073878961,11.0874750887868,"S",0.198850705963587
"200",19.9,2.28403039690822,30.3278020935672,7.68871815200397,16.3850544744781,12.775682126713,11.6104933059115,"S",0.208230888635856
"201",20,2.39644593616907,31.6553987459436,8.02825024631523,17.1221389808759,13.3339840688599,12.1271066483662,"S",0.217496201706207
"202",20.1,2.5159752365099,32.9588055270811,8.39785023437731,17.8269741915544,13.9056941136636,12.6592390414706,"S",0.227039844527278
"203",20.2,2.64155916990874,34.3600159090007,8.75918198826306,18.5762876972954,14.4907237546044,13.180759102738,"S",0.236393158201198
"204",20.3,2.76499840108255,35.6945005753734,9.15461538994933,19.3434344092946,15.0890104947146,13.7340795719106,"S",0.246316803128288
"205",20.4,2.88747202002232,37.1238595896146,9.53973774289754,20.1267513881252,15.7003516992242,14.2901501891947,"S",0.25628977117801
"206",20.5,3.02759158790378,38.4886379769765,9.93676427899986,20.9098244537944,16.3247472202207,14.8615483112612,"S",0.266537633657908
"207",20.6,3.15906852327251,39.8707643757149,10.3312663353045,21.7174750100476,16.9620138353731,15.4446767314093,"S",0.276995875690952
"208",20.7,3.29815940415542,41.3787855186666,10.7327792300699,22.5449898807199,17.6118487967151,16.0235784771754,"S",0.28737831352349
"209",20.8,3.43303115206284,42.916861073881,11.145897471603,23.3793689906736,18.2739957245689,16.6335799668572,"S",0.298318516400223
"210",20.9,3.57659496838364,44.3563122853215,11.5878305309699,24.247257256606,18.9482113959662,17.259399572357,"S",0.309542412676243
"211",21,3.71018908582608,45.9413003804747,11.9985948579601,25.1232457269726,19.6342648323562,17.8979993992245,"S",0.320995518580332
"212",21.1,3.85214914972416,47.6120746098893,12.4326849227744,26.0200166314704,20.3319164629468,18.5400376296699,"S",0.332510291272702
"213",21.2,3.9822909114671,49.2147576032765,12.8744409415765,26.9322414618799,21.0408812176642,19.1926035352399,"S",0.34421387481821
"214",21.3,4.13939271271861,50.8196027069511,13.3112942298502,27.8696112587927,21.760918444816,19.831316363236,"S",0.355669007365337
"215",21.4,4.30719523642841,52.5676890035585,13.7444740385831,28.7969263941503,22.4915576506129,20.4993428656279,"S",0.367649872308822
"216",21.5,4.46248532149851,54.1143721419351,14.1916732092565,29.7260803864432,23.2324889310274,21.1848203287218,"S",0.379943715259252
"217",21.6,4.60690466383209,55.8541154167759,14.6517890433297,30.7189654348155,23.9833899711439,21.8853248770199,"S",0.392507064700339
"218",21.7,4.76908977735328,57.5506293028072,15.1185031226805,31.7002292983896,24.7437258458363,22.5717067014468,"S",0.404817127113549
"219",21.8,4.94304358706604,59.2955021328263,15.5990665624564,32.665681007343,25.5129062387635,23.2730361651684,"S",0.417395271177669
"220",21.9,5.09017728213854,61.207407892739,16.0707000015023,33.676338404046,26.2890322387291,23.9884723151359,"S",0.430226414639428
"221",22,5.24515143015365,62.9307635570034,16.5320006185819,34.7021050098441,27.0755548228462,24.7149142151634,"S",0.443254943092049
"222",22.1,5.39620439132007,64.68921741154,17.0207462176643,35.7335309002257,27.8698920686201,25.4301165437035,"S",0.456081893033145
"223",22.2,5.53516210467788,66.4075765152486,17.5340301968424,36.7448915569172,28.6716025597048,26.1308381926171,"S",0.468649136111901
"224",22.3,5.65475648816126,68.2914898268247,18.0133563576259,37.7629195188876,29.4802206625422,26.862988688647,"S",0.481780046606966
"225",22.4,5.78237124956116,70.2362176034116,18.4933201598513,38.7896506198128,30.2952020675197,27.6190368790051,"S",0.495339555439346
"226",22.5,5.89238772978758,72.1347129602082,18.9814914564484,39.8560992422047,31.1162469714683,28.3669725402244,"S",0.508753568373564
"227",22.6,6.03996875086881,74.208994978562,19.4537940911481,40.8885698004318,31.9425733724861,29.1271381504698,"S",0.522386921958225
"228",22.7,6.17498980026966,76.3206788865224,19.9556127401183,42.0038507455901,32.7735606269054,29.8707737257461,"S",0.535723814076509
"229",22.8,6.30230676496522,78.3334343062218,20.4521801088691,43.0480493957637,33.6084023541891,30.633406405475,"S",0.549401413849281
"230",22.9,6.43357307883681,80.2855836389452,20.9259017042172,44.1707312718147,34.4472246202307,31.4014919723953,"S",0.563176809599844
"231",23,6.54552999463914,82.3782193303327,21.4211232429427,45.2808608837923,35.2890161512349,32.1510110515695,"S",0.576619220683832
"232",23.1,6.64902071686041,84.4683715408405,21.9267194293501,46.3589350954624,36.1331573215222,32.89043160635,"S",0.58988051761074
"233",23.2,6.76334015084146,86.4374917109258,22.4171016477885,47.4374482615122,36.9789757802595,33.6293764997003,"S",0.603133283685453
"234",23.3,6.86362117842966,88.5459945211256,22.8910919377939,48.5373125744743,37.8258032457522,34.3889731771486,"S",0.616756433622534
"235",23.4,6.9673786535851,90.7558312762786,23.3837121808946,49.6426399938101,38.6729798938377,35.1416174280392,"S",0.630254893770632
"236",23.5,7.06703670343579,92.6911630968598,23.8579110465234,50.7441312026062,39.5197897604823,35.9100839410953,"S",0.644037121681577
"237",23.6,7.19212282049377,94.8325442686023,24.3374248810926,51.8714115780906,40.3653861636784,36.6709249548774,"S",0.657682588436189
"238",23.7,7.31631494922252,97.0182155814945,24.8420084351006,52.9661563905791,41.2082423146597,37.4164295613159,"S",0.671053001095725
"239",23.8,7.4207447835555,99.2569714525552,25.3245652091463,54.0467825079253,42.0499753496103,38.1696455965951,"S",0.684561716033883
"240",23.9,7.54446743138663,101.413196335871,25.8129930138597,55.1286487277854,42.888450398339,38.9192069928145,"S",0.698004886062018
"241",24,7.65332389574586,103.5377499298,26.3291376627173,56.1853991648174,43.7229077689205,39.6639929657113,"S",0.711362410233784
"242",24.1,7.75580175573423,105.301237543249,26.7987968917806,57.2747297952077,44.5524686662969,40.4237283457141,"S",0.724988047761651
"243",24.2,7.86556183540323,107.306243393585,27.2436054396799,58.3834587812864,45.3756322314629,41.1640720023354,"S",0.738265900257003
"244",24.3,7.96604287779652,109.502803920983,27.6741551275998,59.4519179462298,46.1934298623156,41.8923760384116,"S",0.75132782558898
"245",24.4,8.07146894891498,111.681338281262,28.082166728401,60.5582206999283,47.0038415626801,42.6125606942229,"S",0.7642441321498
"246",24.5,8.11095327310122,113.605403695446,28.4951478033469,61.6594844236046,47.8057967249241,43.3140488977962,"S",0.776825123167923
"247",24.6,8.10036264227195,115.670648342945,28.9234283138259,62.6284020143561,48.5990024109374,43.9766017698564,"S",0.788707820111306
"248",24.7,8.17948120619472,117.672386869564,29.3555875211664,63.6584481582171,49.3809735262562,44.6819874030256,"S",0.801358710418525
"249",24.8,8.16550520215607,119.696009875515,29.7423537020282,64.7104149512702,50.1458444804246,45.3366490736436,"S",0.813099880912911
"250",24.9,8.19243772852743,121.552302630822,30.1137423565801,65.6996348347461,50.9019267256934,45.9993621069282,"S",0.824985450302209
"251",25,8.1899609461357,123.337528219802,30.4884976175029,66.6961578996781,51.6457544337296,46.6736212783711,"S",0.837078096388913
"252",25.1,8.15503543845719,125.384390507292,30.8197221218223,67.6771746770752,52.3764935952764,47.3436204358614,"S",0.849094340339413
"253",25.2,8.08717214322121,127.224485718642,31.1839218312185,68.6473139418606,53.0891398469368,47.9427932911842,"S",0.859840334744908
"254",25.3,8.02565327164687,129.061943018324,31.5414611727907,69.5666351101152,53.7864823006166,48.5955684461761,"S",0.871547671119165
"255",25.4,7.9679548783846,131.075949674299,31.8840724434771,70.4642605019888,54.4615813872761,49.1568197036305,"S",0.88161355247394
"256",25.5,7.84837809220798,133.005747350248,32.1588204501596,71.3186374082992,55.1098680835191,49.7215771925856,"S",0.891742317091461
"257",25.6,7.7980633289874,134.939919812899,32.4828368047909,72.2879834391902,55.7542195237099,50.2741564418515,"S",0.90165266845076
"258",25.7,7.74593338455323,136.8403054859,32.7360724477461,73.2494737067096,56.3747771358153,50.8047698428147,"S",0.911169068580667
"259",25.8,7.37508630093423,138.897150633069,32.9805399135685,74.1154384087987,56.9602944414693,51.2843135985681,"S",0.919769549177772
"260",25.9,7.24963161993922,140.853578883552,33.2201783552979,74.9302924587765,57.5319849243544,51.7635371893376,"S",0.928364287707133
"261",26,7.03290334385785,142.456544055965,33.4292369068549,75.6742235418629,58.0629592222453,52.1977438134858,"S",0.936151659769259
"262",26.1,6.64015762643789,144.114901819668,33.603304916585,76.4385238750629,58.5630651402907,52.6284062150335,"S",0.943875467209091
"263",26.2,6.32309625464611,145.560866873199,33.7002133680111,77.2197236422015,59.0615886288449,53.0644963170857,"S",0.951696618910664
"264",26.3,6.06533444348973,147.20281931198,33.8106523138924,77.8827340346505,59.5304264663085,53.4542415617987,"S",0.958686588803405
"265",26.4,5.45857869349469,148.899952883448,33.8901734687115,78.4207070481462,59.9413266840463,53.7708181546226,"S",0.964364299776415
"266",26.5,4.77480832611454,150.676577317325,33.9025939505354,79.0357140623308,60.3445499979361,54.0796891489832,"S",0.969903813036958
"267",26.6,4.38674710225494,151.910470392706,34.0111853302236,79.7050518429971,60.719464084124,54.3808274628542,"S",0.975304642876611
"268",26.7,4.03190468070167,153.546553409956,33.9902822605594,80.2140796222326,61.0630870899702,54.6268360780634,"S",0.979716737281852
"269",26.8,3.12474003785789,155.164698019795,33.9463510537698,80.7773125631258,61.3608134994175,54.8747393791974,"S",0.984162812339198
"270",26.9,2.37428773052155,156.435467305228,33.9745592711147,81.2741620719097,61.6451316956337,55.0546700262972,"S",0.987389817217564
"271",27,1.59049268877168,157.922580441454,33.9382665581359,81.7478020708745,61.8901714841673,55.1610720670678,"S",0.989298107495897
"272",27.1,0.607420624064301,159.085080134015,33.9115023008005,82.2691413220575,62.1213235072316,55.2960388060078,"S",0.991718697495416
"273",27.2,0.281271132610697,160.462383022713,33.9054598899862,82.6447933420778,62.3345711793396,55.4869300670156,"S",0.995142277860621
"274",27.3,0,161.47873750705,33.7887001705777,83.0056785591623,62.4917895228352,55.6293737059145,"S",0.997696963930104
"275",27.4,0,162.849676625345,33.7059306731178,83.3934550002206,62.6033870361366,55.652701940185,"S",0.998115349163571
"276",27.5,0,163.841794300966,33.5550658864039,83.6013526558221,62.6981277103125,55.7577858980151,"S",1
"277",27.6,0,164.939374419669,33.3675106228864,83.8997874185128,62.771161184072,55.7424940989607,"S",0.999725745941879
"278",27.7,0,165.92081607874,33.1521331998653,84.0240053905191,62.7788203517633,55.7249916752169,"S",0.999411844959945
"279",27.8,0,166.567566757604,32.8359569889289,84.2866899218673,62.7346259459997,55.688599770995,"S",0.998759166528838
"280",27.9,0,166.886160723364,32.5997454414005,84.495275786194,62.679386554583,55.6984405877284,"S",0.998935658772477
"281",28,0,167.488744489172,32.3005382732026,84.5967269807048,62.5920478444187,55.5499720377519,"S",0.996272917639819
"282",28.1,0,168.171169747058,31.9319442236122,84.6745080339647,62.4599366121709,55.3927395110969,"S",0.993452997083028
"283",28.2,0,168.664635057672,31.6283620967332,84.7360130741445,62.2976455330511,55.2368198281964,"S",0.990656622004834
"284",28.3,0,169.081287459463,31.279201164973,84.651895150905,62.1295272078191,55.0658253218709,"S",0.987589884264597
"285",28.4,0,169.319214729994,30.8704089955469,84.5824102671875,61.9266022969899,54.803022295898,"S",0.98287658688845
"286",28.5,0,169.549069160456,30.4995992682368,84.4309936309214,61.6719578204804,54.5056847379423,"S",0.977543922522982
"287",28.6,0,169.668507164931,30.00887889714,84.1531907611806,61.3795964070128,54.131233499949,"S",0.970828246282211
"288",28.7,0,170.016787696847,29.5771365711035,83.9559551509631,61.04582354308,53.8306933703627,"S",0.965438144707231
"289",28.8,0,170.627130333144,28.9900698216549,83.7091232014612,60.6704286719187,53.3632824075932,"S",0.957055262294639
"290",28.9,0,170.658258783148,28.4967692616041,83.3122933648257,60.2583894488356,52.8372011033196,"S",0.947620144027285
"291",29,0,170.058745148056,27.9176457421384,82.8405556069955,59.8455935139988,52.4186827822973,"S",0.940114137210805
"292",29.1,0,169.859966393622,27.3619230101739,82.2923186306212,59.3813291647049,51.8933855724979,"S",0.930693081454391
"293",29.2,0,169.794862361475,26.7742973288269,81.8504150033036,58.8664537868084,51.3551282150389,"S",0.921039589143138
