trait_name,temp,trait,genus,species,trait_def,citation,data_source,notes
lf,27.5,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.061
lf,17.12,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.071
lf,17.12,18,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.072
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.076
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.078
lf,23.75,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.079
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.086
lf,27.5,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.087
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.088
lf,27.5,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.089
lf,17.12,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.096a
lf,17.12,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.096b
lf,17.12,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.096c
lf,17.12,22,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.097
lf,17.12,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.098
lf,23.75,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.101
lf,23.75,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.102
lf,23.75,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.103
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.104
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.105a
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.105b
lf,27.5,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.111
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.112
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.113
lf,27.5,12,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.114
lf,27.5,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.115
lf,23.75,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.116
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.117
lf,17.12,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.126
lf,17.12,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.127
lf,17.12,12,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.128
lf,17.12,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.129
lf,17.12,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.130
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.136
lf,27.5,13,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.137
lf,13.35,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.141
lf,13.35,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.142
lf,13.35,28,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.143
lf,13.35,15,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.144
lf,13.35,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.145
lf,23.75,0,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.146
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.147
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.148
lf,23.75,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.149
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.150
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.166
lf,27.5,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.167
lf,23.75,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.171
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.172
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.173
lf,13.35,25,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.181
lf,13.35,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.182
lf,13.35,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.183
lf,17.12,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.187
lf,17.12,24,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.188
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.051
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.052
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.053
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.061
lf,27.5,0,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.066
lf,27.5,0,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.067
lf,27.5,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.068
lf,27.5,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.069
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.076
lf,27.5,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.077
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.078
lf,27.5,13,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.082
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.083
lf,27.5,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.084
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.085
lf,23.75,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.091
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.092
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.094
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.095
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.096
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.097
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.101
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.102
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.103
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.108
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.109
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.111
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.112
lf,23.75,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.113
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.114
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.116a
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.116b
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.117
lf,23.75,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.121
lf,23.75,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.122
lf,23.75,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.123
lf,23.75,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.124
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.126
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.127
lf,23.75,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.128
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.130
lf,17.12,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.131
lf,17.12,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.132
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.133
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.136
lf,17.12,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.137
lf,17.12,14,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.139
lf,17.12,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.141
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.142
lf,17.12,14,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.143
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.144
lf,17.12,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.146
lf,17.12,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.147
lf,17.12,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.148
lf,17.12,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.149
lf,13.35,34,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.152
lf,13.35,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.153
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.154
lf,13.35,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.155
lf,13.35,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.157
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.158
lf,13.35,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.159
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.160
lf,13.35,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.161
lf,13.35,17,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.162
lf,13.35,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.163
lf,13.35,16,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.164
lf,13.35,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.166
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.168
lf,13.35,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.169
lf,13.35,34,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN35_Marin.35.170
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.051
lf,27.5,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.052
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.054
lf,27.5,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.056
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.058
lf,27.5,19,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.059
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.060
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.062
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.063
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.064
lf,27.5,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.065
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.066
lf,27.5,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.067
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.068
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.069
lf,27.5,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.070
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.072
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.073
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.074
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.076
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.077
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.078
lf,27.5,0,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.079
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.091
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.093
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.094
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.096
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.097
lf,23.75,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.098
lf,23.75,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.099
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.101
lf,23.75,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.102
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.103
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.104
lf,23.75,25,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.105
lf,23.75,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.106
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.107
lf,23.75,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.108
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.109
lf,23.75,14,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.110
lf,23.75,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.111
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.112
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.113
lf,23.75,15,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.114
lf,23.75,21,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.116
lf,23.75,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.117
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.118
lf,23.75,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.119
lf,23.75,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.120
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.131
lf,17.12,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.133
lf,17.12,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.134
lf,17.12,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.135
lf,17.12,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.137
lf,17.12,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.138
lf,17.12,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.140
lf,13.35,12,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.151
lf,13.35,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.152
lf,13.35,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.153
lf,13.35,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.154
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.160A
lf,13.35,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,MARIN29_Marin.29.160B
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.056
lf,27.5,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.057
lf,27.5,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.061
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.064
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.065
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.066
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.067
lf,27.5,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.068
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.072
lf,27.5,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.073
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.074
lf,27.5,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.075
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.076
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.077
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.078
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.079
lf,27.5,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.081
lf,27.5,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.082
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.084
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.085a
lf,27.5,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.085b
lf,23.75,17,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.091
lf,23.75,29,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.092
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.096
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.101
lf,23.75,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.102
lf,23.75,17,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.103
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.104
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.106
lf,23.75,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.108
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.109
lf,23.75,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.111
lf,23.75,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.112
lf,23.75,13,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.113
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.114
lf,23.75,3,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.115
lf,17.12,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.136
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.137
lf,17.12,12,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.138
lf,17.12,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.139
lf,17.12,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.146
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.147
lf,17.12,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.148
lf,17.12,5,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.149
lf,17.12,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,EUG_Eug.03.150
lf,32.18,0,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.011
lf,27.5,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.051
lf,27.5,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.052
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.053
lf,27.5,1,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.054
lf,27.5,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,WAW_WAW.12.058
