Id,DatasetID,IndividualID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,Habitat,LabField,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
91144,553,PHX577792,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,14.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91146,553,PHX577793,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91148,553,PHX577794,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91150,553,PHX577795,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,7.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91152,553,PHX577796,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91154,553,PHX577797,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91156,553,PHX577798,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91158,553,PHX577799,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,7.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91160,553,PHX577800,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.4,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91162,553,PHX577801,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,21.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91164,553,PHX577802,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,11.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91166,553,PHX577803,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91169,553,PHX577804,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91171,553,PHX577805,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91173,554,PHX577806,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,7.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91175,554,PHX577807,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91177,554,PHX577808,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91179,554,PHX577809,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91181,554,PHX577810,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,5.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91183,554,PHX577811,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,5.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91185,554,PHX577812,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,7.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91187,554,PHX577813,gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,11.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91189,553,PHX577814,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91191,553,PHX577815,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.67,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91193,553,PHX577816,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,5.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91195,553,PHX577817,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.75,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91199,553,PHX577818,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91201,553,PHX577819,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91203,553,PHX577820,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,7.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
