trait.name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes
1/a,18,12,28,2,min/max,days between consecutive blood meals,meal count,06-Jul,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 6
1/a,18,10,15,6,min/max,days between consecutive blood meals,meal count,07-Aug,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 5
1/a,18,13,19,8,min/max,days between consecutive blood meals,meal count,08-Sep,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 3
1/a,18,15,15,15,min/max,days between consecutive blood meals,meal count,09-Oct,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
1/a,18,17,35,4,min/max,days between consecutive blood meals,meal count,01-Feb,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 19
1/a,18,11,22,2,min/max,days between consecutive blood meals,meal count,02-Mar,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 9
1/a,18,9,10,8,min/max,days between consecutive blood meals,meal count,03-Apr,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 25
1/a,18,2,2,2,min/max,days between consecutive blood meals,meal count,04-May,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
1/a,18,20,62,4,min/max,days between consecutive blood meals,meal count,01-Feb,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 26
1/a,18,13,46,2,min/max,days between consecutive blood meals,meal count,02-Mar,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,10,19,2,min/max,days between consecutive blood meals,meal count,03-Apr,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 9
1/a,18,4,5,3,min/max,days between consecutive blood meals,meal count,04-May,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 2
1/a,18,13,20,10,min/max,days between consecutive blood meals,meal count,01-Feb,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,10,22,2,min/max,days between consecutive blood meals,meal count,02-Mar,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 11
1/a,18,11,13,6,min/max,days between consecutive blood meals,meal count,03-Apr,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 8
1/a,18,13,15,10,min/max,days between consecutive blood meals,meal count,04-May,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 4
1/a,18,15,15,15,min/max,days between consecutive blood meals,meal count,05-Jun,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
