Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1Size,Interactor1SizeUnit,Interactor1SizeType,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
82828,124,,PHX571,longevity,mean duration of life stage,17.87,days,,,,terrestrial,laboratory,,,,,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,95,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,30.0,Celsius,,,,,,supplementary data,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2015-01-01
85519,287,,PHX58411,longevity,mean duration of life stage,10.86,days,1.38,1.38,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85520,287,,PHX58411,longevity,mean duration of life stage,27.59,days,4.16,4.16,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85521,287,,PHX58411,longevity,mean duration of life stage,31.05,days,3.92,3.92,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85522,287,,PHX58411,longevity,mean duration of life stage,10.22,days,2.73,2.73,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85523,287,,PHX58411,longevity,mean duration of life stage,26.56,days,1.56,1.56,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85524,287,,PHX58411,longevity,mean duration of life stage,23.54,days,1.19,1.19,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85525,287,,PHX58411,longevity,mean duration of life stage,27.45,days,2.05,2.05,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85526,287,,PHX58411,longevity,mean duration of life stage,10.53,days,2.13,2.13,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,36.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85527,287,,PHX58411,longevity,mean duration of life stage,22.64,days,2.11,2.11,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85528,287,,PHX58411,longevity,mean duration of life stage,9.49,days,3.77,3.77,,terrestrial,laboratory,,,,,Patos Paraiba Brazil,field,2012-01-01,4,decimal,-7.024444,-37.28,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,36.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85529,287,,PHX58411,longevity,mean duration of life stage,15.37,days,2.64,2.64,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85530,287,,PHX58411,longevity,mean duration of life stage,35.55,days,3.41,3.41,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85531,287,,PHX58411,longevity,mean duration of life stage,32.06,days,2.26,2.26,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85532,287,,PHX58411,longevity,mean duration of life stage,14.76,days,2.74,2.74,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85533,287,,PHX58411,longevity,mean duration of life stage,34.71,days,1.88,1.88,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85534,287,,PHX58411,longevity,mean duration of life stage,23.18,days,3.38,3.38,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85535,287,,PHX58411,longevity,mean duration of life stage,30.08,days,3.95,3.95,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85536,287,,PHX58411,longevity,mean duration of life stage,8.72,days,1.43,1.43,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,36.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85537,287,,PHX58411,longevity,mean duration of life stage,22.16,days,1.98,1.98,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85538,287,,PHX58411,longevity,mean duration of life stage,10.53,days,1.68,1.68,,terrestrial,laboratory,,,,,Joao Pessoa Paraiba Brazil,field,2012-01-01,4,decimal,-7.12,-34.88,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,36.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85539,287,,PHX58411,longevity,mean duration of life stage,10.89,days,3.83,3.83,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85540,287,,PHX58411,longevity,mean duration of life stage,29.26,days,2.03,2.03,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85541,287,,PHX58411,longevity,mean duration of life stage,21.94,days,3.32,3.32,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85542,287,,PHX58411,longevity,mean duration of life stage,12.93,days,2.44,2.44,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,16.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85543,287,,PHX58411,longevity,mean duration of life stage,14.75,days,5.11,5.11,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85544,287,,PHX58411,longevity,mean duration of life stage,25.44,days,4.13,4.13,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85545,287,,PHX58411,longevity,mean duration of life stage,23.3,days,2.16,2.16,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,28.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85546,287,,PHX58411,longevity,mean duration of life stage,8.32,days,1.5,1.5,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,male,36.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
85547,287,,PHX58411,longevity,mean duration of life stage,15.05,days,3.33,3.33,,terrestrial,laboratory,,,,,Campina Grande Paraiba Brazil,field,2012-01-01,4,decimal,-7.230556,-35.881111,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,33.0,Celsius,26.0,Celsius,,,,table 4,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2016-01-01
