Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
85668,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (7th),3.9,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,16,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85669,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (8th),4.2,days,0.4,0.4,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,13,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85670,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (9th),4.1,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,9,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85671,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (10th),4.2,days,0.2,0.2,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,5,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85672,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (11th),7.5,days,2.5,2.5,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,2,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85673,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle,3.8,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85674,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (1st),3.1,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85675,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (2nd),3.3,days,0.2,0.2,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,12,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85676,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (3rd),4.3,days,0.9,0.9,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,3,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85677,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle,3.3,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
89511,112,,PHX215,gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,1.7,days,0.2,0.2,se,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,20,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
89512,112,,PHX215,gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,3.1,days,0.2,0.2,se,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
89513,112,,PHX215,gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,3.9,days,0.2,0.2,se,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
89514,112,,PHX215,gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,1.3,days,0.1,0.1,se,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,35,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
91116,553,PHX577777,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.67,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91118,553,PHX577778,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91120,553,PHX577779,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.67,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91122,553,PHX577780,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.5,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91124,553,PHX577781,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91126,553,PHX577782,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.5,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91128,553,PHX577783,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91130,553,PHX577784,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91132,553,PHX577785,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,15.33,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91134,553,PHX577786,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91136,553,PHX577787,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91137,553,PHX577788,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91138,553,PHX577789,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91140,553,PHX577790,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91142,553,PHX577791,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91144,553,PHX577792,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,14,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91146,553,PHX577793,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
91148,553,PHX577794,,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,,,,terrestrial,laboratory,Guadeloupe French West Indies,field,02/01/2012,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24,Celsius,,,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015
