trait.name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes,latitude,longitude
EFGC,18,13,21,6,min/max,eggs per batch,batch category,6th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5,64.8,-147.7
EFGC,18,18,30,7,min/max,eggs per batch,batch category,7th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 3,64.8,-147.7
EFGC,18,12,17,7,min/max,eggs per batch,batch category,8th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 2,64.8,-147.7
EFGC,18,12,12,12,min/max,eggs per batch,batch category,9th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1,64.8,-147.7
EFGC,18,40,110,1,min/max,eggs per batch,batch category,1st,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 36,64.8,-147.7
EFGC,18,28,47,8,min/max,eggs per batch,batch category,2nd,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5,64.8,-147.7
EFGC,18,14,14,14,min/max,eggs per batch,batch category,3rd,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1,64.8,-147.7
EFGC,18,32,90,3,min/max,eggs per batch,batch category,1st,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 27,64.8,-147.7
EFGC,18,15,25,1,min/max,eggs per batch,batch category,2nd,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5,64.8,-147.7
EFGC,18,39,96,2,min/max,eggs per batch,batch category,1st,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 19,64,-145.7
EFGC,18,38,108,13,min/max,eggs per batch,batch category,2nd,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 12,64,-145.7
EFGC,18,28,55,6,min/max,eggs per batch,batch category,3rd,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 10,64,-145.7
EFGC,18,26,51,13,min/max,eggs per batch,batch category,4th,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 4,64,-145.7
EFGC,18,17,17,17,min/max,eggs per batch,batch category,5th,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1,64,-145.7
